Ulkoasiainministeriö,Kansainvälinen kehitysyhteistyö,Varsinainen kehitysyhteistyö (siirtomääräraha 3 v),874584
Sisäasiainministeriö,Hallinto,EU:n osuus yhteisvastuun ja maahanmuuttovirtojen hallintaan (siirtomääräraha 3 v),0
Sisäasiainministeriö,Hallinto,EU:n osuus sisäisen turvallisuuden ja maahanmuuton hallintaan (siirtomääräraha 3 v),0
Valtiovarainministeriö,Eläkkeet ja korvaukset,Eläkkeet (arviomääräraha),2612989
Valtiovarainministeriö,Eläkkeet ja korvaukset,Muiden eläkelaitosten vastattavaksi kuuluvat eläkemenot (arviomääräraha),0
Valtiovarainministeriö,Valtionhallinnon yhteiset henkilöstömenot,Työturvallisuuden edistäminen (siirtomääräraha 2 v),0
Valtiovarainministeriö,EU ja kansainväliset järjestöt,Euroopan unionin osallistuminen matkamenojen korvauksiin (siirtomääräraha 2 v),0
Opetus- ja kulttuuriministeriö,Korkeakouluopetus ja tutkimus,Veikkauksen ja raha-arpajaisten voittovarat tieteen edistämiseen (arviomääräraha),0
Opetus- ja kulttuuriministeriö,Taide ja kulttuuri,Veikkauksen ja raha-arpajaisten voittovarat taiteen edistämiseen (arviomääräraha),0
Opetus- ja kulttuuriministeriö,Liikuntatoimi,Veikkauksen ja raha-arpajaisten voittovarat urheilun ja liikuntakasvatuksen edistämiseen (arviomääräraha),0
Opetus- ja kulttuuriministeriö,Nuorisotyö,Veikkauksen ja raha-arpajaisten voittovarat nuorisotyön edistämiseen (arviomääräraha),0
Maa- ja metsätalousministeriö,Maaseudun kehittäminen,Hevostalouden edistäminen totopeleistä valtion osuutena kertyvillä varoilla (siirtomääräraha 2 v),0
Maa- ja metsätalousministeriö,Maaseudun kehittäminen,EU:n osallistuminen maaseudun kehittämiseen (arviomääräraha),0
Maa- ja metsätalousministeriö,Maatalous,EU-tulotuki ja EU-markkinatuki (arviomääräraha),0
Maa- ja metsätalousministeriö,"Kala-, riista- ja porotalous",Kalakannan hoitovelvoitteet (siirtomääräraha 3 v),0
Maa- ja metsätalousministeriö,"Kala-, riista- ja porotalous",Hirvieläinten aiheuttamien vahinkojen korvaaminen (siirtomääräraha 2 v),0
Maa- ja metsätalousministeriö,"Kala-, riista- ja porotalous",Riistatalouden edistäminen (siirtomääräraha 2 v),0
Maa- ja metsätalousministeriö,"Kala-, riista- ja porotalous",Kalatalouden edistäminen (siirtomääräraha 2 v),0
Maa- ja metsätalousministeriö,"Kala-, riista- ja porotalous",Kalastuslupamaksujen palautukset ja saimaannorpan suojeluun liittyvät sopimuspalkkiot (arviomääräraha),0
Työ- ja elinkeinoministeriö,Työllisyys- ja yrittäjyyspolitiikka,Palkkaturva (arviomääräraha),0
Työ- ja elinkeinoministeriö,Alueiden kehittäminen ja rakennerahastopolitiikka,"EU:n ja valtion rahoitusosuus EU:n rakennerahasto-, ulkorajayhteistyö- ja muihin koheesiopolitiikan ohjelmiin (arviomääräraha)",318590
Sosiaali- ja terveysministeriö,Raha-automaattiyhdistyksen avustukset,Avustukset yhteisöille ja säätiöille terveyden ja sosiaalisen hyvinvoinnin edistämiseen (arviomääräraha),0
Ympäristöministeriö,Ympäristön- ja luonnonsuojelu,EU:n ympäristörahaston osallistuminen ympäristö- ja luonnonsuojeluhankkeisiin (siirtomääräraha 3 v),0
